id,property_type,room_type,price,accommodates,bathrooms,bedrooms,host_is_superhost,longitude,latitude,number_of_reviews,availability_365,review_scores_rating,minimum_nights,listing_url,region,price_per_person
347935,House,Entire home/apt,600.0,6,1.0,2.0,f,-97.76163000000001,30.2521,1,0,100.0,5,https://www.airbnb.com/rooms/347935,South,100.0
349447,House,Entire home/apt,125.0,4,1.0,1.0,t,-97.72359,30.27875,550,340,97.0,1,https://www.airbnb.com/rooms/349447,East,31.25
349635,Guest suite,Private room,59.0,1,1.0,1.0,f,-97.77637,30.299329999999998,45,8,92.0,1,https://www.airbnb.com/rooms/349635,Central,59.0
351865,House,Private room,75.0,2,1.0,1.0,f,-97.64911,30.33179,0,0,95.97287683414851,1,https://www.airbnb.com/rooms/351865,East,37.5
353126,Apartment,Entire home/apt,58.0,2,1.0,1.0,t,-97.74613000000001,30.238459999999996,5,259,96.0,29,https://www.airbnb.com/rooms/353126,South,29.0
353261,House,Entire home/apt,675.0,10,3.5,4.0,t,-97.75152,30.24336,142,306,98.0,3,https://www.airbnb.com/rooms/353261,South,67.5
353955,Apartment,Entire home/apt,225.0,2,1.0,2.0,f,-97.80005,30.34442,1,0,80.0,3,https://www.airbnb.com/rooms/353955,West,112.5
354263,Guesthouse,Entire home/apt,129.0,5,1.0,1.0,t,-97.76294,30.24782,288,340,98.0,2,https://www.airbnb.com/rooms/354263,South,25.8
354513,House,Entire home/apt,908.0,4,2.5,3.0,f,-97.72983,30.25859,5,0,100.0,3,https://www.airbnb.com/rooms/354513,East,227.0
354542,House,Entire home/apt,1000.0,11,2.0,3.0,t,-97.72081999999999,30.26332,110,313,99.0,2,https://www.airbnb.com/rooms/354542,East,90.9090909090909
354569,House,Entire home/apt,248.0,6,2.0,2.0,f,-97.7606,30.28923,11,0,100.0,3,https://www.airbnb.com/rooms/354569,Central,41.333333333333336
355176,Apartment,Entire home/apt,141.0,2,1.0,1.0,f,-97.77387,30.22062,17,183,98.0,30,https://www.airbnb.com/rooms/355176,South,70.5
355232,House,Entire home/apt,1000.0,7,2.0,3.0,f,-97.74556,30.24803,3,365,100.0,1,https://www.airbnb.com/rooms/355232,South,142.85714285714286
355328,House,Entire home/apt,100.0,2,1.0,1.0,f,-97.77906999999999,30.239279999999997,0,0,95.97287683414851,1,https://www.airbnb.com/rooms/355328,South,50.0
355792,Apartment,Entire home/apt,119.0,2,1.0,1.0,f,-97.75421999999999,30.27927,12,0,96.0,2,https://www.airbnb.com/rooms/355792,Central,59.5
356675,House,Entire home/apt,1050.0,6,2.5,3.0,f,-97.77131999999999,30.305870000000002,2,0,100.0,30,https://www.airbnb.com/rooms/356675,Central,175.0
356719,House,Entire home/apt,325.0,9,2.0,3.0,f,-97.69641,30.30599,1,0,100.0,2,https://www.airbnb.com/rooms/356719,East,36.111111111111114
356837,Townhouse,Entire home/apt,299.0,8,2.5,2.0,f,-97.74286,30.2805,8,334,91.0,3,https://www.airbnb.com/rooms/356837,Central,37.375
357503,House,Entire home/apt,495.0,6,3.0,3.0,f,-97.77781999999999,30.249809999999997,3,0,90.0,2,https://www.airbnb.com/rooms/357503,South,82.5
357529,House,Entire home/apt,135.0,4,1.0,2.0,t,-97.76862,30.2552,222,142,99.0,3,https://www.airbnb.com/rooms/357529,South,33.75
358164,OTHER,Private room,100.0,2,1.0,1.0,t,-97.7184,30.31062,178,311,99.0,1,https://www.airbnb.com/rooms/358164,Central,50.0
358643,House,Entire home/apt,800.0,4,1.0,2.0,f,-97.76657,30.229740000000003,0,0,95.97287683414851,1,https://www.airbnb.com/rooms/358643,South,200.0
359970,House,Entire home/apt,110.0,4,1.0,1.0,t,-97.71779000000001,30.257590000000004,72,161,98.0,2,https://www.airbnb.com/rooms/359970,East,27.5
362460,House,Entire home/apt,625.0,4,1.0,2.0,f,-97.74403000000001,30.31725,0,365,95.97287683414851,4,https://www.airbnb.com/rooms/362460,Central,156.25
362662,House,Entire home/apt,500.0,10,4.0,4.0,f,-97.72391,30.2532,176,346,98.0,2,https://www.airbnb.com/rooms/362662,East,50.0
363040,Apartment,Entire home/apt,69.0,3,1.0,1.0,t,-97.77582,30.25433,230,116,96.0,2,https://www.airbnb.com/rooms/363040,South,23.0
363944,House,Entire home/apt,795.0,12,4.0,5.0,t,-97.77102,30.257559999999998,26,317,98.0,4,https://www.airbnb.com/rooms/363944,South,66.25
364025,Apartment,Entire home/apt,225.0,6,1.0,1.0,f,-97.75345,30.274070000000002,13,0,94.0,5,https://www.airbnb.com/rooms/364025,Central,37.5
364121,Bed and breakfast,Hotel room,210.0,2,1.0,1.0,f,-97.91906999999999,30.394090000000002,1,365,100.0,2,https://www.airbnb.com/rooms/364121,West,105.0
364269,House,Entire home/apt,295.0,8,2.5,3.0,t,-97.76926,30.25865,80,330,97.0,4,https://www.airbnb.com/rooms/364269,South,36.875
364402,Bungalow,Private room,35.0,1,1.0,1.0,t,-97.71999,30.32109,14,278,98.0,30,https://www.airbnb.com/rooms/364402,Central,35.0
365471,House,Entire home/apt,115.0,9,2.5,3.0,f,-97.73425,30.25917,71,116,95.0,1,https://www.airbnb.com/rooms/365471,East,12.777777777777779
367356,House,Entire home/apt,194.0,6,1.0,2.0,t,-97.72200000000001,30.30632,151,286,97.0,1,https://www.airbnb.com/rooms/367356,Central,32.333333333333336
