,room_type,price,accommodates,bathrooms,bedrooms,host_is_superhost,number_of_reviews,review_scores_rating,minimum_nights,price_per_person,region
420,Entire home/apt,129.0,1,1.0,1.0,f,53,97.0,30,129.0,North
421,Entire home/apt,118.0,2,1.0,1.0,f,0,96.09516770892553,180,59.0,Central
422,Entire home/apt,65.0,1,1.0,1.0,f,8,93.0,1,65.0,Central
423,Entire home/apt,500.0,4,2.0,2.0,f,0,96.09516770892553,4,125.0,South
424,Entire home/apt,500.0,4,1.0,2.0,f,7,100.0,1,125.0,Central
425,Entire home/apt,275.0,4,2.0,3.0,f,1,96.09516770892553,3,68.75,East
426,Entire home/apt,78.0,2,1.0,2.0,t,176,97.0,3,39.0,Central
427,Entire home/apt,200.0,3,1.0,1.0,f,425,96.0,1,66.66666666666667,Central
428,Entire home/apt,700.0,6,2.0,3.0,f,0,96.09516770892553,4,116.66666666666667,Central
429,Entire home/apt,900.0,10,2.0,5.0,f,0,96.09516770892553,5,90.0,West
430,Entire home/apt,14.0,16,1.0,0.0,t,68,96.0,2,0.875,South
431,Entire home/apt,199.0,9,1.0,3.0,f,18,100.0,3,22.11111111111111,Central
432,Entire home/apt,399.0,4,2.0,2.0,f,0,96.09516770892553,5,99.75,East
433,Entire home/apt,125.0,6,2.0,3.0,t,39,94.0,3,20.833333333333332,South
434,Private room,250.0,8,2.0,1.0,f,0,96.09516770892553,3,31.25,Central
435,Entire home/apt,120.0,5,1.5,2.0,t,7,97.0,21,24.0,Central
436,Entire home/apt,499.0,10,2.5,4.0,f,158,91.0,1,49.9,Central
437,Entire home/apt,60.0,2,1.0,1.0,t,765,98.0,1,30.0,East
438,Entire home/apt,107.0,3,1.0,0.0,t,704,95.0,1,35.666666666666664,Central
439,Entire home/apt,110.0,3,1.0,1.0,f,78,93.0,1,36.666666666666664,Central
440,Private room,88.0,1,0.25,1.0,f,3,100.0,1,88.0,East
441,Entire home/apt,148.0,4,1.0,1.0,t,202,99.0,2,37.0,Central
442,Entire home/apt,200.0,3,1.0,1.0,t,0,96.09516770892553,3,66.66666666666667,South
443,Entire home/apt,195.0,10,2.5,3.0,t,125,99.0,2,19.5,East
444,Entire home/apt,125.0,3,1.0,1.0,f,11,98.0,30,41.666666666666664,North
445,Entire home/apt,1000.0,10,3.5,5.0,f,8,98.0,4,100.0,Central
446,Private room,350.0,4,1.0,1.0,f,0,96.09516770892553,1,87.5,West
447,Entire home/apt,75.0,2,1.0,1.0,f,216,97.0,7,37.5,Central
448,Entire home/apt,225.0,6,2.0,3.0,t,161,98.0,2,37.5,Central
449,Entire home/apt,150.0,2,1.0,1.0,t,155,100.0,3,75.0,Central
450,Entire home/apt,258.0,12,2.0,5.0,t,150,98.0,2,21.5,East
451,Private room,49.0,2,1.5,1.0,f,9,98.0,2,24.5,Central
452,Entire home/apt,145.0,5,1.0,1.0,t,390,95.0,1,29.0,Central
453,Private room,65.0,2,1.0,1.0,t,3,100.0,2,32.5,South
454,Entire home/apt,163.0,4,2.0,2.0,f,28,94.0,140,40.75,Central
455,Entire home/apt,295.0,4,1.0,1.0,f,0,96.09516770892553,3,73.75,Central
456,Entire home/apt,350.0,8,2.5,3.0,f,28,99.0,2,43.75,Central
457,Entire home/apt,14.0,16,1.5,10.0,t,15,96.0,3,0.875,South
458,Entire home/apt,14.0,16,1.0,10.0,t,13,100.0,3,0.875,South
459,Entire home/apt,174.0,6,2.0,2.0,t,18,100.0,3,29.0,Central
460,Entire home/apt,135.0,3,1.0,1.0,t,34,95.0,3,45.0,Central
461,Private room,95.0,3,1.0,2.0,t,106,99.0,2,31.666666666666668,North
462,Entire home/apt,70.0,2,1.0,0.0,t,63,89.0,30,35.0,Central
463,Entire home/apt,75.0,1,1.0,1.0,t,99,97.0,7,75.0,East
464,Entire home/apt,116.0,6,2.0,3.0,f,5,96.0,30,19.333333333333332,Central
465,Entire home/apt,85.0,2,1.0,1.0,t,47,98.0,3,42.5,Central
466,Entire home/apt,97.0,3,1.0,1.0,t,385,98.0,1,32.333333333333336,Central
467,Entire home/apt,115.0,4,0.0,1.0,f,1,100.0,3,28.75,Central
468,Private room,200.0,2,0.5,1.0,f,1,97.0,1,100.0,Central
469,Private room,260.0,4,2.5,2.0,f,3,100.0,5,65.0,Central
470,Entire home/apt,225.0,4,1.0,2.0,f,27,96.0,1,56.25,West
471,Entire home/apt,475.0,10,2.0,4.0,t,134,100.0,2,47.5,Central
472,Private room,350.0,3,1.0,1.0,f,0,96.09516770892553,1,116.66666666666667,Central
473,Entire home/apt,1399.0,8,6.0,6.0,f,0,96.09516770892553,365,174.875,West
474,Private room,480.0,5,2.0,3.0,f,0,96.09516770892553,2,96.0,North
475,Entire home/apt,499.0,10,2.0,3.0,f,107,85.0,1,49.9,Central
476,Private room,40.0,2,1.5,1.0,t,16,99.0,30,20.0,Central
477,Entire home/apt,480.0,6,1.0,2.0,f,0,96.09516770892553,1,80.0,Central
478,Entire home/apt,300.0,5,1.0,2.0,f,8,98.0,3,60.0,Central
479,Private room,62.0,2,1.5,1.0,f,164,100.0,2,31.0,Central
480,Entire home/apt,120.0,4,1.0,0.0,t,139,100.0,1,30.0,Central
481,Entire home/apt,392.0,6,1.0,3.0,t,116,95.0,3,65.33333333333333,Central
482,Entire home/apt,60.0,2,1.0,1.0,t,5,96.0,2,30.0,South
483,Private room,95.0,2,1.0,1.0,t,200,99.0,2,47.5,Central
